gene,log2fc,pval,padj,direction,cell_type,score
SH3BP5,-2.4599917,7.818929868602057e-26,1.0317142051209502e-23,down,MuSC,-10.5094
PRDX6,-0.6795131,8.045735556901847e-26,1.0530101706911052e-23,down,MuSC,-10.506703
RPL7,0.22346975,1.007752084144599e-25,1.3082897621419161e-23,up,MuSC,10.48544
CNKSR3,-1.1497552,1.157487513430612e-25,1.4906587192964794e-23,down,MuSC,-10.472338
NPPC,-1.4797593,2.0629661606819009e-25,2.635684861480733e-23,down,MuSC,-10.417503
ECHDC2,-0.8493118,3.504148695173116e-25,4.441715409046993e-23,down,MuSC,-10.366982
RPS3,0.17077476,6.076650498895021e-25,7.642337479000942e-23,up,MuSC,10.31423
CSRP2,-0.863637,6.507686021001838e-25,8.120986788068804e-23,down,MuSC,-10.307644
SERPINF1,-0.7998696,2.140633493232405e-24,2.6507629210811745e-22,down,MuSC,-10.192554
GADD45G,-2.1896145,3.2950192715317432e-24,4.0491007811540457e-22,down,MuSC,-10.15055
DNAJB4,-0.8716084,5.358524077522212e-24,6.534963681814588e-22,down,MuSC,-10.102986
RPS10,-0.50908464,6.24497159214594e-24,7.5587633601778455e-22,down,MuSC,-10.087967
DHX36,-0.9326167,8.177635905894392e-24,9.824147971125964e-22,down,MuSC,-10.0614605
RNF150,-1.729867,8.476368978976215e-24,1.0107599098041412e-21,down,MuSC,-10.057928
SERTAD1,-0.8405468,9.8774570681497e-24,1.1691713520814257e-21,down,MuSC,-10.042853
LGALS3,0.7496577,1.3844844410571626e-23,1.6268197468714017e-21,up,MuSC,10.009501
FABP5,1.8037708,1.6752874488575005e-23,1.954259228384641e-21,up,MuSC,9.990621
NUDT4,-1.0097687,1.7699398105237365e-23,2.04981950142526e-21,down,MuSC,-9.985172
TGFBI,-0.8551904,1.870142981968112e-23,2.15039726598019e-21,down,MuSC,-9.979709
RSRC2,-0.726539,2.374341499553955e-23,2.710790741831176e-21,down,MuSC,-9.955996
RPS2,0.13894637,2.929143839683526e-23,3.320658981072212e-21,up,MuSC,9.935089
DIO2,-1.3651097,4.0095463559384483e-23,4.5136837229298695e-21,down,MuSC,-9.903749
RPS25,0.16328342,4.127082338992753e-23,4.613734131465649e-21,up,MuSC,9.900861
NOP53,0.36969417,5.133098268543896e-23,5.698801098415147e-21,up,MuSC,9.879023
HIF1A,-1.042311,5.857543654785689e-23,6.458543681831509e-21,down,MuSC,-9.865784
S100A10,0.56548333,5.989255009828259e-23,6.5588453842323334e-21,up,MuSC,9.863552
SRSF3,-0.57724446,6.817339000906734e-23,7.415238056526796e-21,down,MuSC,-9.850545
MAFF,-0.93980163,9.117254269758805e-23,9.850305988897801e-21,down,MuSC,-9.821286
RPS24,0.16435407,9.32514440392302e-23,1.0007744974290186e-20,up,MuSC,9.819014
RPS6,0.17423947,9.66153521415893e-23,1.0300092309770227e-20,up,MuSC,9.81544
HLA-B,0.6057846,1.3703410905833535e-22,1.4512993997507123e-20,up,MuSC,9.78013
SYTL4,-1.2116814,1.554137184087528e-22,1.6351961038850343e-20,down,MuSC,-9.767384
SERBP1,-0.658394,1.8355805385982048e-22,1.9187776305424622e-20,down,MuSC,-9.750503
VIT,-1.2482703,2.341774550561698e-22,2.429897387029289e-20,down,MuSC,-9.725748
SLC22A3,-1.8453895,2.3547272479598043e-22,2.429897387029289e-20,down,MuSC,-9.725187
COPS2,-0.8607981,4.289009485122913e-22,4.397737241497367e-20,down,MuSC,-9.663973
AKAP13,-0.9596163,5.793940875420685e-22,5.90321900079254e-20,down,MuSC,-9.633126
IFITM2,0.4044077,9.474045786440524e-22,9.592024469818841e-20,up,MuSC,9.582482
MPST,-0.9884039,1.2851152403652173e-21,1.2929865712124544e-19,down,MuSC,-9.550951
ABI3BP,-1.3969078,1.56678419782973e-21,1.5665895662523596e-19,down,MuSC,-9.5304
ARID5B,-0.7249272,1.6394890561422917e-21,1.6291663472702846e-19,down,MuSC,-9.52569
POLA2,-1.1743628,1.6520720469656629e-21,1.6315985160768862e-19,down,MuSC,-9.524896
SLC19A2,-1.3279315,4.204898995859693e-21,4.127467319228618e-19,down,MuSC,-9.427373
RPLP2,0.16757655,4.279624964803554e-21,4.1753577383883414e-19,up,MuSC,9.425524
RPS7,0.1817513,5.0692309275559165e-21,4.9159324983009135e-19,up,MuSC,9.407739
RPS27,0.09909226,6.7069341930963536e-21,6.4651632718841385e-19,up,MuSC,9.378262
PRUNE2,2.9159606,6.831715885542432e-21,6.54624775746798e-19,up,MuSC,9.376317
SELENOS,-0.8054833,6.920965359229033e-21,6.592526648098755e-19,down,MuSC,-9.3749485
RPL9,0.15133095,7.751731371018981e-21,7.297507111734709e-19,up,MuSC,9.362982
DDX21,-0.80863136,7.751731371018981e-21,7.297507111734709e-19,down,MuSC,-9.362982
NFKBIZ,-1.164093,8.404477517430093e-21,7.866004597418002e-19,down,MuSC,-9.354439
XBP1,-0.79315233,1.9903339963514227e-20,1.8520460504777573e-18,down,MuSC,-9.262857
RPS18,0.15015933,2.0199078416238712e-20,1.8687630134747746e-18,up,MuSC,9.261283
TPT1,-0.23215479,2.385684277086161e-20,2.194556885287601e-18,down,MuSC,-9.243498
MT1A,-1.109957,3.516646141111005e-20,3.2165323624775557e-18,down,MuSC,-9.201903
HNRNPK,-0.5493394,6.693422945957485e-20,6.087611445425062e-18,down,MuSC,-9.132502
RPLP1,0.14685902,7.15829320647179e-20,6.473831687515894e-18,up,MuSC,9.125232
ST3GAL5,1.1273128,1.2212122692897525e-19,1.098272352571309e-17,up,MuSC,9.067194
CALD1,-0.60820985,1.3812454380722254e-19,1.2352938367825937e-17,down,MuSC,-9.053762
GPM6B,-0.7204986,1.4410503404246795e-19,1.281659026527983e-17,down,MuSC,-9.049135
PDK4,-0.74135584,2.169184485593089e-19,1.9186555961031614e-17,down,MuSC,-9.004365
PEG10,-1.3295078,2.207403322900544e-19,1.941791185358085e-17,down,MuSC,-9.002448
DDIT4,-0.6529886,2.54219943744898e-19,2.224148181742048e-17,down,MuSC,-8.986936
TNS2,-1.0963502,2.7746629195962227e-19,2.4144066853870266e-17,down,MuSC,-8.97731
CHMP1B,-1.0566379,3.12752343934424e-19,2.7068210928259986e-17,down,MuSC,-8.964126
CFLAR,-0.8721204,4.246142096473817e-19,3.6553152657238236e-17,down,MuSC,-8.930363
SOCS1,-2.0387561,4.488143941942476e-19,3.843092615818616e-17,down,MuSC,-8.924229
SUB1,-0.67742956,5.645855904028752e-19,4.8088353620663946e-17,down,MuSC,-8.89879
TRHDE,-1.256238,8.887598142662487e-19,7.530134468451616e-17,down,MuSC,-8.848283
TFDP2,-1.0041479,1.0546829172743941e-18,8.889154765593296e-17,down,MuSC,-8.829156
B4GALT1,-1.2059755,1.8537690031597352e-18,1.5542694485867402e-16,down,MuSC,-8.765847
BTG3,-0.86714566,2.3811028481850762e-18,1.9860618471545776e-16,down,MuSC,-8.737602
SAT1,-0.6013436,2.631879057978048e-18,2.183916962645908e-16,down,MuSC,-8.726279
RPS15,0.11901617,2.6852727595177098e-18,2.216795942703389e-16,up,MuSC,8.724007
RPS23,0.079284385,3.080120183523555e-18,2.529784424202152e-16,up,MuSC,8.708467
TOMM20,-0.6289319,3.1409645724596722e-18,2.5666623191601926e-16,down,MuSC,-8.706249
MEF2A,-1.1524049,4.01324192233594e-18,3.262887296250705e-16,down,MuSC,-8.678414
EIF5,-0.59147274,4.2020076978657575e-18,3.399191955791103e-16,down,MuSC,-8.673184
JUNB,-0.6776848,4.9539319167774256e-18,3.98741979981415e-16,down,MuSC,-8.654428
CALD1,-3.08109,3.598462071054592e-220,5.792804241983682e-216,down,Myofiber,-31.673521
MT-ND3,-2.9880373,1.4174167719380758e-213,1.1408787597329572e-209,down,Myofiber,-31.190859
MT-ATP6,-2.9547155,2.184931643374409e-203,1.172434319834708e-199,down,Myofiber,-30.430277
SPARCL1,-2.9429512,1.1482446769346604e-184,4.621110702323541e-181,down,Myofiber,-28.980814
DSTN,-3.052973,3.812516307705864e-184,1.2274777504289804e-180,down,Myofiber,-28.939426
TIMP3,-2.7247674,9.999773211608025e-181,2.6829391526744327e-177,down,Myofiber,-28.666447
ACTB,-2.8682551,5.884024728068273e-165,1.3531575724634722e-161,down,Myofiber,-27.372164
MT-CO2,-2.8730347,1.226828770725277e-164,2.468686193891939e-161,down,Myofiber,-27.34534
MT-ND1,-2.5956666,8.271665985524324e-164,1.4795253226107842e-160,down,Myofiber,-27.275557
MT-ND2,-2.7072096,2.702682377204399e-161,4.350778090823642e-158,down,Myofiber,-27.062765
PLN,-2.3867638,9.131168863619809e-160,1.3363050578777427e-156,down,Myofiber,-26.932562
MYH11,-2.799159,2.0540764553385872e-152,2.755543564836715e-149,down,Myofiber,-26.297392
MT-ND4,-2.720242,4.2414545245975906e-152,5.252225764382464e-149,down,Myofiber,-26.269844
HES4,-2.4447055,8.063001709063031e-149,9.271300108035476e-146,down,Myofiber,-25.981272
TPM2,-2.1343093,3.2010190281791095e-147,3.43533362104182e-144,down,Myofiber,-25.839403
MYL6,-2.7454271,6.2515581840916944e-145,6.289848977969256e-142,down,Myofiber,-25.634771
RHOB,-2.207824,3.2827355304990554e-144,3.1085574452925764e-141,down,Myofiber,-25.570093
CLIC4,-2.5636623,9.848413733236853e-144,8.807764682091489e-141,down,Myofiber,-25.527157
MT-CYB,-2.6851194,2.36712807423088e-143,2.0055804073141424e-140,down,Myofiber,-25.492832
FLNA,-2.3931496,5.596076467199983e-140,4.5042819484492645e-137,down,Myofiber,-25.186749
PPP1CB,-2.0452387,7.863067103255111e-140,6.027602582295275e-137,down,Myofiber,-25.173264
PPP1R14A,-2.5102344,3.923059364960467e-139,2.870609529869709e-136,down,Myofiber,-25.109434
ACTA2,-3.2599137,4.5209316524261356e-139,3.1642590322067803e-136,down,Myofiber,-25.103794
FABP4,-2.8808744,9.378767002102376e-139,6.290807966660168e-136,down,Myofiber,-25.074755
COX7A2,-2.0626242,1.6513438397612908e-138,1.0633333252990904e-135,down,Myofiber,-25.052217
MT-CO3,-2.7666454,3.863928376359999e-137,2.39236611548628e-134,down,Myofiber,-24.926258
CSRP2,-2.3924682,5.1068657077915465e-134,3.0448268208899376e-131,down,Myofiber,-24.636726
C11orf96,-2.4736319,1.3583326730269616e-131,7.809442632281439e-129,down,Myofiber,-24.409422
TAGLN,-3.3776922,1.7920722984468213e-131,9.947855124274804e-129,down,Myofiber,-24.398087
MYL9,-3.186512,5.341566729575437e-131,2.86628470709018e-128,down,Myofiber,-24.353357
PTMA,-2.448307,1.4163113526804e-130,7.354767792080347e-128,down,Myofiber,-24.31335
MT-CO1,-2.6689365,4.148604632520216e-130,2.087007417947201e-127,down,Myofiber,-24.269182
CCDC107,-2.1221437,2.2156933416647594e-128,1.0808554973975544e-125,down,Myofiber,-24.104996
TMSB4X,-2.7278502,8.867724613539294e-128,4.1986067890810463e-125,down,Myofiber,-24.047491
LMOD1,-2.2178102,4.981832113927206e-127,2.291358096285719e-124,down,Myofiber,-23.975735
CSRP1,-2.294737,1.021485566904144e-126,4.5677429600063644e-124,down,Myofiber,-23.94582
CALM2,-2.4059403,1.2926409416086716e-126,5.624036183247674e-124,down,Myofiber,-23.936003
H3-3A,-2.0189269,2.617220875769043e-124,1.1087374120560539e-121,down,Myofiber,-23.713491
ATP5F1E,-1.953639,7.32212941244771e-124,3.022349725168801e-121,down,Myofiber,-23.670145
CAV1,-2.2552872,7.92827494824851e-124,3.1907342529226127e-121,down,Myofiber,-23.66679
SELENOM,-2.1181293,8.581647110091669e-123,3.369447687274529e-120,down,Myofiber,-23.566118
ITM2B,-1.9430486,1.3898862379858743e-121,5.327235395023002e-119,down,Myofiber,-23.447865
COX8A,-2.0241075,3.010675093154573e-121,1.127112736037263e-118,down,Myofiber,-23.414938
NDUFA4,-1.8831594,3.341878281576911e-121,1.222671740382389e-118,down,Myofiber,-23.410488
COX6A1,-2.0463367,6.2825913610445585e-121,2.2474923495576734e-118,down,Myofiber,-23.383556
TNS1,-1.9627573,1.7732445365696345e-119,6.205584902108255e-117,down,Myofiber,-23.240538
MT-ND5,-2.0422344,2.955231627910833e-119,1.0121982711937998e-116,down,Myofiber,-23.21859
CST3,-1.8261741,3.171724017773866e-119,1.0637169424609103e-116,down,Myofiber,-23.21555
