gene,log2fc,pval,padj,direction,cell_type
RPL38,-0.33900023,2.5175211124165387e-05,0.002848887139179057,down,CD8
EEF1A1,-0.2728921,2.5175211124165387e-05,0.002848887139179057,down,CD8
TXK,-1.049423,2.5175211124165387e-05,0.002848887139179057,down,CD8
HNRNPA1,-0.21085367,2.852929644651e-05,0.0030709584142422147,down,CD8
RPS10,-0.4768608,3.0361627857835946e-05,0.0031903805780773642,down,CD8
RPL6,-0.17145674,3.230544674058969e-05,0.003215970788311334,down,CD8
MAML2,-0.68679035,3.230544674058969e-05,0.003215970788311334,down,CD8
RPL7,-0.3220907,3.436712297085747e-05,0.003250147915243949,down,CD8
TPT1,-0.2961683,3.436712297085747e-05,0.003250147915243949,down,CD8
ST13,-0.28241062,3.436712297085747e-05,0.003250147915243949,down,CD8
RPS25,-0.2822654,3.436712297085747e-05,0.003250147915243949,down,CD8
MAN1C1,-1.1238675,3.887123081819794e-05,0.003454061047200944,down,CD8
RPL5,-0.2565682,4.669086667152847e-05,0.003863669217068981,down,CD8
ANP32B,-0.26525342,4.961353348623108e-05,0.004005385264376217,down,CD8
AGMAT,-0.9160453,4.961353348623108e-05,0.004005385264376217,down,CD8
EIF3H,-0.32289433,4.961353348623108e-05,0.004005385264376217,down,CD8
NDFIP1,-0.3822065,5.2709058060722665e-05,0.004204023667011856,down,CD8
RPL10A,-0.29092544,6.313090268220694e-05,0.004776303722928114,down,CD8
ZNF609,-0.74902576,6.701851562208607e-05,0.00492958414909122,down,CD8
SATB1,-0.7369085,6.701851562208607e-05,0.00492958414909122,down,CD8
SLC16A10,-1.5857766,6.701851562208607e-05,0.00492958414909122,down,CD8
LDLRAP1,-0.677939,7.1131929914864e-05,0.0049567723793305235,down,CD8
IL6ST,-0.9550712,7.1131929914864e-05,0.0049567723793305235,down,CD8
RPL31,-0.28261095,7.548338779109467e-05,0.005151546671928317,down,CD8
RPL32,-0.29788193,7.548338779109467e-05,0.005151546671928317,down,CD8
RPS6,-0.328418,8.008574170230618e-05,0.0052752996026792735,down,CD8
RPL21,-0.3310555,8.008574170230618e-05,0.0052752996026792735,down,CD8
RPS23,-0.27031428,8.008574170230618e-05,0.0052752996026792735,down,CD8
PKIA,-0.9253948,8.248519461485211e-05,0.005406455330201198,down,CD8
TGFBR2,-0.4175633,8.495248161454517e-05,0.0054866871052516005,down,CD8
PRMT2,-0.43231052,9.55364380044842e-05,0.0059385091041285025,down,CD8
LDHB,-0.39030954,0.00010128408248212995,0.006040546180465768,down,CD8
RPS21,-0.3356575,0.00010128408248212995,0.006040546180465768,down,CD8
PABPC1,-0.34906304,0.00010128408248212995,0.006040546180465768,down,CD8
EEF1B2,-0.36015,0.00010128408248212995,0.006040546180465768,down,CD8
RSL1D1,-0.3455882,0.00010735703116283735,0.006234241634192836,down,CD8
SARAF,-0.3298487,0.00010735703116283735,0.006234241634192836,down,CD8
SULT1B1,-1.5007198,0.00011052081425472851,0.006389937033766836,down,CD8
LBH,-0.31517902,0.00011377240875121966,0.006437379025069009,down,CD8
RCAN3,-0.82887805,0.00013525694071774979,0.007078268360090937,down,CD8
RETREG1,-0.8544016,0.00014323030563175785,0.007350268397536721,down,CD8
CD79A,-1.2676541,0.00014738102692453498,0.007534072573285109,down,CD8
FAM117B,-0.82978046,0.00019018290798247285,0.008712877860511904,down,CD8
NRCAM,-1.8120985,0.00019560120549791873,0.008907743908821689,down,CD8
ABLIM1,-0.5669559,0.0002127393383710775,0.008998941980936313,down,CD8
RPL9,-0.3192675,0.0002127393383710775,0.008998941980936313,down,CD8
SNX9,-0.9370916,0.0002249376449237986,0.00927780192769811,down,CD8
ALKBH7,-0.3265409,0.00023779021021010124,0.009454481631176398,down,CD8
CAMK4,-0.46353084,0.00023779021021010124,0.009454481631176398,down,CD8
BACH2,-0.8424936,0.00026558906621668946,0.010133715379564751,down,CD8
UXT,-0.20573154,0.00026558906621668946,0.010133715379564751,down,CD8
CITED4,-0.7641712,0.0002806045050011288,0.010406732902562872,down,CD8
CD8B,-0.2325256,0.0002806045050011288,0.010406732902562872,down,CD8
PDK1,-0.75919074,0.00031305189763892565,0.010821950717335185,down,CD8
NOSIP,-0.5490973,0.00031305189763892565,0.010821950717335185,down,CD8
RPS15A,-0.16734107,0.00031305189763892565,0.010821950717335185,down,CD8
LEPROTL1,-0.33821347,0.00031305189763892565,0.010821950717335185,down,CD8
RPS12,-0.23847842,0.00034898650457518157,0.011522646684726693,down,CD8
RGCC,-0.65688044,0.00038875119445190847,0.011997822411522769,down,CD8
LRRC75A,-0.66905385,0.00038875119445190847,0.011997822411522769,down,CD8
RPL29,-0.20758316,0.00038875119445190847,0.011997822411522769,down,CD8
CD55,-0.6276979,0.00038875119445190847,0.011997822411522769,down,CD8
TCEA3,-0.9846845,0.0004101851298974218,0.012399203469958596,down,CD8
FOXP1,-0.38541982,0.0004101851298974218,0.012399203469958596,down,CD8
RPS3A,-0.30840042,0.00043271891057744516,0.01290359994604814,down,CD8
EPHX2,-1.1423575,0.0004564042223034656,0.013428426451773076,down,CD8
RPL36A,-0.39239252,0.0004564042223034656,0.013428426451773076,down,CD8
EIF2D,-0.45051163,0.0004564042223034656,0.013428426451773076,down,CD8
CDCA7L,-1.1645147,0.0004686954447308066,0.013729043558043979,down,CD8
BTF3,-0.17761461,0.0004812949184972462,0.013913416421186767,down,CD8
