gene,log2fc,pval,padj,direction,cell_type
SCG2,-2.5264664,0.0005183155259115,0.0114974323486146,down,oligodendrocyte
OLFM1,-1.1971736,0.000552031792226,0.0119576698728276,down,oligodendrocyte
RGS4,-1.7492135,0.0005646343037151,0.0121265810008886,down,oligodendrocyte
NRXN3,-0.4300536,0.00057469869819,0.0121961923154009,down,oligodendrocyte
MT-CO3,-0.6759891,0.0006325295554101,0.0129526535274146,down,oligodendrocyte
EIF4A2,-1.2075391,0.0006375212006067,0.0130194901930088,down,oligodendrocyte
ATP2B1,-0.8745157,0.0006578564603745,0.0132762829452829,down,oligodendrocyte
OPCML,-0.48899397,0.0007698085104264,0.0147281587445464,down,oligodendrocyte
PTPN11,-0.47911125,0.000891315063347,0.0162103398106292,down,oligodendrocyte
CNTN1,-0.5406437,0.0011441250551982,0.0190127432744122,down,oligodendrocyte
GABRB2,-0.7130234,0.0013738112260449,0.0211050207420037,down,oligodendrocyte
YWHAE,-1.0538625,0.0014371191165643,0.0216880441249645,down,oligodendrocyte
ATP2A2,-1.1305088,0.0015271567479359,0.0224526013077483,down,oligodendrocyte
NORAD,-1.3238227,0.0015807838341215,0.0229739003898488,down,oligodendrocyte
NDUFAF2,-0.4665541,0.0017404932107156,0.0243694189026582,down,oligodendrocyte
PLCB1,-0.47180858,0.0024467401842628,0.0299468229370997,down,oligodendrocyte
ADGRL3,-0.44813526,0.0024802934220509,0.0302049468202112,down,oligodendrocyte
ERBB4,-0.44576207,0.0025891077725724,0.0311131583199093,down,oligodendrocyte
COX7A2,-1.9598122,0.002660215152444,0.0317056216591082,down,oligodendrocyte
MT-ND2,-0.6462798,0.0029406849565466,0.0338551303330693,down,oligodendrocyte
IDS,-0.9435808,0.0030563137078528,0.0346513290206892,down,oligodendrocyte
NTRK2,-0.5514803,0.0032375453274011,0.0360593855481245,down,oligodendrocyte
RABGEF1P1,-0.13140398,0.0033000981324531,0.0365044327842787,down,oligodendrocyte
FAM182B,-0.19179757,0.0033141474034437,0.0366459013838583,down,oligodendrocyte
MAP2,-0.59918386,0.0033229558392373,0.0367153794684123,down,oligodendrocyte
GRIA2,-0.57012445,0.0034999622175105,0.0377391180005285,down,oligodendrocyte
BASP1,-0.762612,0.0040014668149911,0.0412501440789639,down,oligodendrocyte
ATP5F1A,-1.2854296,0.0040434351916607,0.0414915803841518,down,oligodendrocyte
NLGN1,-0.3989914,0.0041114162687463,0.0418495262553074,down,oligodendrocyte
GRID2,-0.41317087,0.0042350816663877,0.0425277658633365,down,oligodendrocyte
SLC17A7,-0.8968608,0.0045321777050942,0.0442431217998808,down,oligodendrocyte
YWHAG,-0.8453287,0.004621823188344,0.0446091072486673,down,oligodendrocyte
EGR1,-2.673101,0.0046408993113105,0.0446746086965317,down,oligodendrocyte
GAP43,-0.8418214,0.004920590191031,0.0464898256482692,down,oligodendrocyte
STAU1,-0.17131828,0.004945837541588,0.0466223343750157,down,oligodendrocyte
STMN1,-0.96192884,0.0057020767372966,0.0506481654237395,down,oligodendrocyte
TMEM50B,-0.01629402,0.0058593904439776,0.0515573172469939,down,oligodendrocyte
PRKCB,-0.5027361,0.0061088239533266,0.052825069695716,down,oligodendrocyte
ATP6AP2,-1.4261812,0.0068338027495016,0.0566354567564139,down,oligodendrocyte
SNHG14,-0.328922,0.0069189509319765,0.0570970522283794,down,oligodendrocyte
FAM47E,-0.037122183,0.0069326627351991,0.0571777552473983,down,oligodendrocyte
APLP2,-1.1222627,0.0069360944977523,0.0571898395489473,down,oligodendrocyte
VAMP2,-0.839094,0.0069670490951181,0.0573272054090912,down,oligodendrocyte
IFNGR2,-0.12521641,0.0078664891795766,0.0618284788733161,down,oligodendrocyte
COX6C,-1.3785919,0.008076470237851,0.0630359181392769,down,oligodendrocyte
BEX1,-1.8453479,0.0086444214959773,0.0660332076502539,down,oligodendrocyte
BAHD1,-0.07173779,0.0095268288970582,0.0703171855724238,down,oligodendrocyte
ACTG1,-0.905551,0.009609228766249,0.0707279123642845,down,oligodendrocyte
NRGN,-0.854232,0.0099641873963071,0.072315581150988,down,oligodendrocyte
ROBO2,-0.3856687,0.0108518686716285,0.0763569302781588,down,oligodendrocyte
MORC4,-0.048420582,0.0114390491579322,0.0789039346683655,down,oligodendrocyte
SCG3,-1.2101402,0.0115197937152474,0.0792353644827602,down,oligodendrocyte
NEAT1,1.9232153,1.8606124080278077e-214,4.05073927351734e-210,up,microglial_cell
FKBP5,1.641787,2.282161999548718e-101,2.484247444608757e-97,up,microglial_cell
ACSL1,1.8862103,5.1233205085448025e-80,3.717993693050963e-76,up,microglial_cell
DPYD,1.8459457,3.912204731910049e-74,2.1293152304603417e-70,up,microglial_cell
FMN1,1.4450492,1.4854951959870472e-71,6.4681431823668e-68,up,microglial_cell
SLC1A3,1.0125146,7.485023112397427e-70,2.715940636333406e-66,up,microglial_cell
SLC11A1,1.4161426,2.868854413229794e-63,8.922547061489407e-60,up,microglial_cell
DISC1,1.2663466,2.442556890465437e-62,6.647113257790378e-59,up,microglial_cell
MS4A6A,1.4925889,3.393789138828503e-61,8.209575926826149e-58,up,microglial_cell
SLA,1.3631202,7.075780426071843e-60,1.5404681565601006e-56,up,microglial_cell
SSH2,1.0063568,1.2125459398527214e-59,2.3998488778666897e-56,up,microglial_cell
DOCK5,1.613087,4.287584604810589e-59,7.778750369277609e-56,up,microglial_cell
HIF1A,1.303285,1.725262016926312e-58,2.8892830285002103e-55,up,microglial_cell
LINC02232,1.4929974,1.0125947234525123e-57,1.574657123163189e-54,up,microglial_cell
LINC01684,2.7447815,1.1126062963929208e-57,1.614836778584685e-54,up,microglial_cell
P4HA1,1.5209104,1.1017800413563928e-56,1.4991783300231271e-53,up,microglial_cell
KCNMA1,1.1422595,6.062577767955873e-53,7.764022387421606e-50,up,microglial_cell
ARHGAP26,0.9279622,2.085600060860501e-50,2.5225332736107766e-47,up,microglial_cell
HCLS1,1.0585312,3.547614836766879e-49,4.065006453223775e-46,up,microglial_cell
RNF150,1.4965814,2.8605439766211835e-48,3.113845145750989e-45,up,microglial_cell
SCIN,1.330754,2.454927286702118e-47,2.545058188513896e-44,up,microglial_cell
TLR2,1.1160334,2.638076125776633e-47,2.6106161515583214e-44,up,microglial_cell
TANC2,1.1229745,3.940827094023957e-46,3.7302498549563295e-43,up,microglial_cell
LRRK2,1.400097,2.6966134366664925e-44,2.446165463736092e-41,up,microglial_cell
CD163,2.1777356,5.604449474351629e-44,4.880578780244371e-41,up,microglial_cell
DENND3,0.9742897,8.032157227218525e-44,6.72569596129902e-41,up,microglial_cell
UGCG,1.3471943,8.441167676847945e-44,6.806394870098392e-41,up,microglial_cell
ZBTB16,1.2173833,1.5780942104942637e-43,1.2270246091668075e-40,up,microglial_cell
CCND3,1.180028,3.073381099974645e-43,2.3072613768119995e-40,up,microglial_cell
ARHGAP15,0.9282069,1.916631566638395e-42,1.3908995279094834e-39,up,microglial_cell
LNCAROD,1.217283,2.2370842474777804e-42,1.5710826178012502e-39,up,microglial_cell
MIR3667HG,4.1103106,5.370901158490122e-42,3.654059035046514e-39,up,microglial_cell
ETV6,0.9224199,9.137262613947124e-42,6.028101344492208e-39,up,microglial_cell
TBC1D14,1.1262563,1.6887414280193102e-41,1.0813408714531883e-38,up,microglial_cell
ABHD3,1.3961803,1.9668419641896337e-41,1.2234318972106435e-38,up,microglial_cell
GLDN,1.2080264,3.5220882341352435e-41,2.1299828595932887e-38,up,microglial_cell
PLSCR1,1.1392988,7.20910309589426e-41,4.241875229749026e-38,up,microglial_cell
PADI2,1.2075901,2.9342274221334317e-40,1.68108066334913e-37,up,microglial_cell
DLEU1,1.1324918,5.0128487081591296e-40,2.798326390393139e-37,up,microglial_cell
MT-RNR2,1.6663624,1.2920845140188267e-39,7.03249298867597e-37,up,microglial_cell
ABHD15-AS1,1.3030506,2.6910576816846567e-39,1.4289516289745527e-36,up,microglial_cell
SRGAP3,1.1719706,2.1623102665587326e-38,1.1208489717440517e-35,up,microglial_cell
FRMD4B,0.9586527,2.112831253504795e-37,1.0697313772105323e-34,up,microglial_cell
PTPN2,1.0491589,3.1359752367876044e-37,1.5516662927296122e-34,up,microglial_cell
ATG7,0.96244675,1.3651270286376292e-36,6.604484564548849e-34,up,microglial_cell
CHST11,0.7570049,4.702961265943384e-36,2.2258297765402916e-33,up,microglial_cell
UTRN,0.97574,7.312460461070878e-36,3.387225036127109e-33,up,microglial_cell
SIPA1L1,1.0707197,1.4344300557946757e-35,6.506036821813726e-33,up,microglial_cell
FOXP1,1.6235077,3.1581534749258306e-35,1.4031869245430664e-32,up,microglial_cell
MIR29B2CHG,1.1296957,1.972146147473889e-34,8.418743877775302e-32,up,microglial_cell
MIR181A1HG,1.9312692,2.16522284052208e-34,8.894163483208715e-32,up,microglial_cell
CACNA1A,1.0876375,2.16522284052208e-34,8.894163483208715e-32,up,microglial_cell
CYTH1,1.04331,2.942612826397441e-34,1.186363404509235e-31,up,microglial_cell
IGF2R,1.5408211,4.218571795686561e-34,1.6698641193434932e-31,up,microglial_cell
HDAC4,1.028656,1.6506215238929886e-33,6.417085927977545e-31,up,microglial_cell
LINC01094,1.1077642,1.803844546980712e-33,6.889736777599487e-31,up,microglial_cell
MGAT1,1.2591399,1.927478164634712e-33,7.23502191763143e-31,up,microglial_cell
CIITA,1.0001192,7.339577211901556e-33,2.7083039911916743e-30,up,microglial_cell
PBX3,1.2802633,1.3550829520429412e-32,4.916918491487812e-30,up,microglial_cell
MSN,1.0250252,1.6821273630899803e-32,6.003540134726552e-30,up,microglial_cell
RPS6KA3,0.91711926,2.3334278689135598e-32,8.193719053889856e-30,up,microglial_cell
MT-ND3,1.1528219,2.803648181444282e-32,9.688607072733884e-30,up,microglial_cell
H2AC6,1.2628562,3.9683413628676546e-32,1.3499181220467456e-29,up,microglial_cell
PRKAG2,0.9047628,5.250771463896912e-32,1.7586853160076873e-29,up,microglial_cell
MS4A4A,1.511218,6.922454023255836e-32,2.283465856671255e-29,up,microglial_cell
TBC1D8,1.7114826,8.519514388391562e-32,2.7683335485025776e-29,up,microglial_cell
CPM,1.1122607,1.0024604994391734e-31,3.20949522548386e-29,up,microglial_cell
NUFIP2,0.9359018,1.120674230545678e-31,3.5359708222043416e-29,up,microglial_cell
MT-CO2,1.0047497,1.2380467515671162e-31,3.850502261195384e-29,up,microglial_cell
FAM13A,0.94803226,1.3612343039567252e-31,4.1740045114706844e-29,up,microglial_cell
TGFBR1,0.85508806,1.5813664076538867e-31,4.7161545289085977e-29,up,microglial_cell
PRRC2B,2.8633883,2.338519775879564e-31,6.879988383874861e-29,up,microglial_cell
DOCK11,0.8711466,9.396783011528826e-31,2.7276981725865868e-28,up,microglial_cell
MIR646HG,1.0514851,1.1272032933561857e-30,3.228992486797041e-28,up,microglial_cell
ZMAT3,1.0968444,1.3841434727329682e-30,3.913530849983045e-28,up,microglial_cell
RNF149,0.85817724,2.4358524820711848e-30,6.712777770528072e-28,up,microglial_cell
TTC7A,0.94188523,4.642210399656136e-30,1.2633195326364215e-27,up,microglial_cell
FCGR2A,1.2929714,5.7248010387422915e-30,1.5386993014130667e-27,up,microglial_cell
TNFRSF1B,0.9036372,9.506789962447753e-30,2.5240527350298784e-27,up,microglial_cell
RASSF2,1.0517602,1.0308196995717904e-29,2.7038524914912588e-27,up,microglial_cell
BMP2K,0.76944757,1.0919630038647574e-29,2.8301341139451945e-27,up,microglial_cell
RNF144B,1.2682772,1.1670383846594534e-29,2.9891285496965834e-27,up,microglial_cell
IL4R,1.0904677,1.4995271245905838e-29,3.796070352262978e-27,up,microglial_cell
XIST,1.3473443,1.6729582672545918e-29,4.186433843264336e-27,up,microglial_cell
SKAP2,0.7684659,1.7787156219683397e-29,4.400502023394628e-27,up,microglial_cell
MYO1E,1.2323153,1.9675699410712569e-29,4.8130297962991376e-27,up,microglial_cell
NCK2,0.8436211,2.578637481194827e-29,6.237724067010287e-27,up,microglial_cell
MT-RNR1,1.7188302,3.5347897801100415e-29,8.456693220085243e-27,up,microglial_cell
TRPS1,0.9811594,5.354114960850298e-29,1.267004747963824e-26,up,microglial_cell
TRPM2,0.86348504,5.413059540308177e-29,1.267179776903756e-26,up,microglial_cell
HIF1A-AS3,1.3641751,8.898898298580902e-29,2.0610416474298384e-26,up,microglial_cell
VMP1,0.8010702,1.796732326322835e-28,4.074652028789004e-26,up,microglial_cell
POU2F2,0.9074773,1.9933119769023502e-28,4.473855159705265e-26,up,microglial_cell
KCTD12,0.9066798,2.020263271235626e-28,4.488076701843961e-26,up,microglial_cell
MBP,0.7298785,2.3384630103188517e-28,5.142492747237548e-26,up,microglial_cell
MSR1,0.89353013,2.403505497334501e-28,5.227654781865596e-26,up,microglial_cell
NHSL1,0.99470097,2.425213049324446e-28,5.227654781865596e-26,up,microglial_cell
DSE,1.1355816,3.3701006319772058e-28,7.193182437134878e-26,up,microglial_cell
ST6GALNAC3,-0.74521476,1.2624831846397104e-34,5.497104282558229e-32,down,microglial_cell
NAV2,-1.3593044,1.502866760509107e-31,4.5442933670894125e-29,down,microglial_cell
FRMD4A,-0.17093903,7.028492620440472e-27,1.2967568884712671e-24,down,microglial_cell
RASGEF1C,-0.83391905,2.5164921862313544e-25,4.0885486109285684e-23,down,microglial_cell
P2RY12,-0.6722235,1.4941388226513118e-23,2.0079565622186238e-21,down,microglial_cell
CX3CR1,-0.82852507,7.587397093709475e-23,9.641766870212772e-21,down,microglial_cell
CYFIP1,-0.518909,2.2518465211744896e-22,2.6789590498628312e-20,down,microglial_cell
SRGAP2C,-0.6950901,7.758494945209592e-22,8.797405908966561e-20,down,microglial_cell
SRGAP2B,-0.587279,2.302537548518885e-21,2.4693864516652534e-19,down,microglial_cell
MEF2C,-0.24586517,6.53584861509462e-21,6.711884915057781e-19,down,microglial_cell
SYNDIG1,-0.53227615,1.9129365966142784e-17,1.352160475483424e-15,down,microglial_cell
CECR2,-1.2221131,6.058315475619201e-16,3.593885183098246e-14,down,microglial_cell
LINC00996,-2.3487027,1.5700002607177106e-15,8.901165540647208e-14,down,microglial_cell
HTRA1,-0.64026666,2.0926579073735645e-15,1.1711890822989684e-13,down,microglial_cell
SRGAP2,-0.31573334,2.7352412223354523e-14,1.3381783517183174e-12,down,microglial_cell
MED12L,-1.0294216,3.4801120091620553e-14,1.6911946105238193e-12,down,microglial_cell
NAV3,-0.26447818,4.0613548040342133e-13,1.7371268259062643e-11,down,microglial_cell
ZFPM2-AS1,-1.1044277,9.288620478379168e-13,3.690192635671402e-11,down,microglial_cell
SFMBT2,-0.18455748,5.7279277781264456e-12,2.0488458145427818e-10,down,microglial_cell
KCNQ3,-0.2893235,8.382761948035773e-12,2.9530924008201745e-10,down,microglial_cell
MAP4K4,-0.2611818,1.2815859606129168e-11,4.3801268364998126e-10,down,microglial_cell
KBTBD12,-0.8364962,3.1343314853202727e-10,8.393300217331817e-09,down,microglial_cell
CCL3L3,-2.634393,4.944131967434154e-09,1.0785440587475849e-07,down,microglial_cell
ANKRD44,-0.114342704,8.19014538892883e-09,1.7277873571935039e-07,down,microglial_cell
CKB,-0.9116511,9.626403923742697e-09,2.0170975921443917e-07,down,microglial_cell
LILRB4,-0.8916721,1.3327238818718693e-08,2.6840639807800614e-07,down,microglial_cell
CSF2RA,-0.44054243,1.859390308117896e-08,3.620821681398453e-07,down,microglial_cell
ITPR2,-0.061952475,2.1263664841402107e-08,4.118605402688303e-07,down,microglial_cell
SOX5,-0.9211404,2.420857695717474e-08,4.631326264803614e-07,down,microglial_cell
PDE4B,-0.47795624,3.146444946576202e-08,5.874893047333663e-07,down,microglial_cell
SAMSN1,-0.33289403,1.0342754437835653e-07,1.7387807480009265e-06,down,microglial_cell
HS3ST4,-0.3498037,1.1920791243720317e-07,1.985673650857192e-06,down,microglial_cell
LRP1B,-0.7247423,1.365509046981306e-07,2.247051962345428e-06,down,microglial_cell
PSD3,-0.6672758,1.4363874951217297e-07,2.345955900697312e-06,down,microglial_cell
ST6GAL1,-0.09998388,2.0651395834977738e-07,3.267453043047241e-06,down,microglial_cell
PCDH9,-0.6526133,2.1584339963596925e-07,3.402698518084494e-06,down,microglial_cell
ASTN1,-1.4156352,2.8276603270895937e-07,4.3413958378750025e-06,down,microglial_cell
C12orf75,-0.6702113,7.389084738091225e-07,1.0331905191585358e-05,down,microglial_cell
DHRS9,-1.0271921,8.146826740060231e-07,1.128991501959588e-05,down,microglial_cell
P2RY13,-0.7260714,9.246328034504812e-07,1.2660491046490832e-05,down,microglial_cell
A2M,-0.2526089,1.8122061937767325e-06,2.322162509989008e-05,down,microglial_cell
USP53,-0.3781493,2.113041553754108e-06,2.6637537734094204e-05,down,microglial_cell
LINC02712,-0.6055973,2.81551029811843e-06,3.459169001147649e-05,down,microglial_cell
HCG22,-2.0437376,3.3446577477411344e-06,4.056631968026308e-05,down,microglial_cell
LINC-PINT,-2.1207485,4.650585866601602e-06,5.472410042953518e-05,down,microglial_cell
APBA2,-1.006567,9.081712938577105e-06,9.980715415737614e-05,down,microglial_cell
UNC5C,-1.0963409,9.958328240130589e-06,0.0001083411073269,down,microglial_cell
CTNNA3,-0.83689165,1.162205334981124e-05,0.0001243971108548,down,microglial_cell
PER3,-0.8871163,1.57298629137391e-05,0.0001618406642225,down,microglial_cell
SYT1,-0.4904522,1.8135178885104224e-05,0.0001838086496776,down,microglial_cell
TLN2,-0.2797381,2.0952416057841488e-05,0.0002094375803467,down,microglial_cell
SRGAP2-AS1,-0.9104103,2.5680379936076505e-05,0.000249592656959,down,microglial_cell
IPCEF1,-0.6924357,2.719299461800262e-05,0.0002630025259122,down,microglial_cell
RGS10,-0.28633046,3.1192504354440714e-05,0.0002973257496937,down,microglial_cell
IGSF10,-1.606246,3.5576915787954455e-05,0.0003360282141516,down,microglial_cell
PSMA1,-0.37839806,3.920033635183325e-05,0.0003656514664591,down,microglial_cell
PDE4D,-0.50323224,4.0918640845195e-05,0.0003797225834152,down,microglial_cell
IGF1,-1.0192327,5.058355676118672e-05,0.0004601983344119,down,microglial_cell
MKNK1,-0.28908768,5.217030837613992e-05,0.0004730528045218,down,microglial_cell
PLCXD3,-1.0582303,6.986779843212781e-05,0.0006126024324067,down,microglial_cell
LPAR1,-0.52758414,8.859478642153312e-05,0.0007525544655416,down,microglial_cell
NCKAP5,-0.3052148,0.0001022823089929,0.0008544850917443,down,microglial_cell
CH25H,-0.7010951,0.0001310370183867,0.0010664698793639,down,microglial_cell
SIPA1L2,-0.22305232,0.0001313504712748,0.0010686214910777,down,microglial_cell
NLGN1,-0.83939314,0.0001626154099282,0.0012859789646017,down,microglial_cell
KCNIP4,-0.43088308,0.0001714345395789,0.0013464290624726,down,microglial_cell
PLAT,-0.9633398,0.0001994750515649,0.0015356334326803,down,microglial_cell
RPL13A,-0.13033314,0.0002608269377361,0.0019533757349341,down,microglial_cell
B3GNT5,-0.37237394,0.0003221384430738,0.0023393182268714,down,microglial_cell
CAPZB,-0.08281332,0.000349252645111,0.0025185754676093,down,microglial_cell
DPYS,-1.811463,0.0003522073522383,0.002536522085869,down,microglial_cell
CACNB4,-0.59376705,0.0004079688795657,0.0028902995369431,down,microglial_cell
ZBTB20,-0.09810261,0.0004208808291727,0.0029706379156413,down,microglial_cell
LINGO1,-2.1229951,0.00042131627736,0.0029713238336265,down,microglial_cell
MRC1,-0.5803917,0.0004792339306721,0.0033333552411064,down,microglial_cell
DLG2,-0.41639253,0.0006436318039351,0.0043062409353016,down,microglial_cell
PTPRD,-0.523212,0.0008403317437385,0.0054465205099531,down,microglial_cell
AKT3,-0.2240622,0.0008719771691068,0.0056165132984099,down,microglial_cell
CCSER1,-0.74981195,0.0010580584938807,0.006669076858795,down,microglial_cell
EEF1A1,-0.06393576,0.0012537837497838,0.0077457792328442,down,microglial_cell
GUSBP14,-6.5028443,0.0013432782911477,0.0081940352133868,down,microglial_cell
CADM2,-0.51558477,0.0014110965771338,0.0085498792790242,down,microglial_cell
NRXN1,-0.46257466,0.0014220392325169,0.0086045625711859,down,microglial_cell
MROCKI,-0.68805957,0.0015332481524909,0.0091877289737315,down,microglial_cell
AFF3,-1.0410962,0.0015569566448598,0.009302004147981,down,microglial_cell
RPL23,-0.028829755,0.0017425675935377,0.0102811488018724,down,microglial_cell
KHDRBS3,-0.27844864,0.0020026631648348,0.0116235616533243,down,microglial_cell
RPS5,-0.0033364263,0.002188279937081,0.0125569432024752,down,microglial_cell
GRIA2,-0.7258607,0.0025055754095742,0.0141318347776792,down,microglial_cell
RPL22,-0.028386945,0.0030844466722375,0.0169084692598756,down,microglial_cell
SSBP2,-0.2079437,0.003138179446791,0.0171618449475225,down,microglial_cell
ADGRL3,-0.426296,0.0033086260798647,0.0179631168041735,down,microglial_cell
GGTA2P,-6.588587,0.0033610096670289,0.0182111850325751,down,microglial_cell
RPL27,-0.06883543,0.0042338456544866,0.0223184149500793,down,microglial_cell
OAZ1,-0.060500976,0.0042812463674203,0.0225192110812053,down,microglial_cell
ABCC4,-0.076247774,0.0043289412907153,0.0227261588715127,down,microglial_cell
LINC01141,-0.46548083,0.0043308068236926,0.0227304713979299,down,microglial_cell
